year;month;day;lod(ms);sig(ms);
1962;1;1;1.7230;1.4000;
1962;1;2;1.6690;1.4000;
1962;1;3;1.5820;1.4000;
1962;1;4;1.4960;1.4000;
1962;1;5;1.4160;1.4000;
1962;1;6;1.3820;1.4000;
1962;1;7;1.4130;1.4000;
1962;1;8;1.5050;1.4000;
1962;1;9;1.6280;1.4000;
1962;1;10;1.7380;1.4000;
1962;1;11;1.7940;1.4000;
1962;1;12;1.7740;1.4000;
1962;1;13;1.6670;1.4000;
1962;1;14;1.5100;1.4000;
1962;1;15;1.3120;1.4000;
1962;1;16;1.1120;1.4000;
1962;1;17;0.9360;1.4000;
1962;1;18;0.8110;1.4000;
1962;1;19;0.7330;1.4000;
1962;1;20;0.6810;1.4000;
1962;1;21;0.6780;1.4000;
1962;1;22;0.7210;1.4000;
1962;1;23;0.7900;1.4000;
1962;1;24;0.8620;1.4000;
1962;1;25;0.9440;1.4000;
1962;1;26;1.0040;1.4000;
1962;1;27;1.0370;1.4000;
1962;1;28;1.0520;1.4000;
1962;1;29;1.0520;1.4000;
1962;1;30;1.0440;1.4000;
1962;1;31;1.0370;1.4000;
1962;2;1;1.0170;1.4000;
1962;2;2;1.0410;1.4000;
1962;2;3;1.1250;1.4000;
1962;2;4;1.2890;1.4000;
1962;2;5;1.5060;1.4000;
1962;2;6;1.7140;1.4000;
1962;2;7;1.8790;1.4000;
1962;2;8;1.9590;1.4000;
1962;2;9;1.9300;1.4000;
1962;2;10;1.8180;1.4000;
1962;2;11;1.6500;1.4000;
1962;2;12;1.4740;1.4000;
1962;2;13;1.3030;1.4000;
1962;2;14;1.1660;1.4000;
1962;2;15;1.0810;1.4000;
1962;2;16;1.0560;1.4000;
1962;2;17;1.0640;1.4000;
1962;2;18;1.1130;1.4000;
1962;2;19;1.1600;1.4000;
1962;2;20;1.2130;1.4000;
1962;2;21;1.2870;1.4000;
1962;2;22;1.3330;1.4000;
1962;2;23;1.3590;1.4000;
1962;2;24;1.3740;1.4000;
1962;2;25;1.3510;1.4000;
1962;2;26;1.3080;1.4000;
1962;2;27;1.2560;1.4000;
1962;2;28;1.2210;1.4000;
1962;3;1;1.2020;1.4000;
1962;3;2;1.2430;1.4000;
1962;3;3;1.3520;1.4000;
1962;3;4;1.5200;1.4000;
1962;3;5;1.7300;1.4000;
1962;3;6;1.9290;1.4000;
1962;3;7;2.0600;1.4000;
1962;3;8;2.0840;1.4000;
1962;3;9;1.9990;1.4000;
1962;3;10;1.8350;1.4000;
1962;3;11;1.6380;1.4000;
1962;3;12;1.4540;1.4000;
1962;3;13;1.3130;1.4000;
1962;3;14;1.2200;1.4000;
1962;3;15;1.1940;1.4000;
1962;3;16;1.2170;1.4000;
1962;3;17;1.2770;1.4000;
1962;3;18;1.3510;1.4000;
1962;3;19;1.4440;1.4000;
1962;3;20;1.5220;1.4000;
1962;3;21;1.5840;1.4000;
1962;3;22;1.6100;1.4000;
1962;3;23;1.6110;1.4000;
1962;3;24;1.5690;1.4000;
1962;3;25;1.5090;1.4000;
1962;3;26;1.4170;1.4000;
1962;3;27;1.3380;1.4000;
1962;3;28;1.2910;1.4000;
1962;3;29;1.2770;1.4000;
1962;3;30;1.3340;1.4000;
1962;3;31;1.4700;1.4000;
1962;4;1;1.6640;1.4000;
1962;4;2;1.8730;1.4000;
1962;4;3;2.0600;1.4000;
1962;4;4;2.1620;1.4000;
1962;4;5;2.1510;1.4000;
1962;4;6;2.0430;1.4000;
1962;4;7;1.8580;1.4000;
1962;4;8;1.6570;1.4000;
1962;4;9;1.4860;1.4000;
1962;4;10;1.3800;1.4000;
1962;4;11;1.3360;1.4000;
1962;4;12;1.3390;1.4000;
1962;4;13;1.3860;1.4000;
1962;4;14;1.4620;1.4000;
1962;4;15;1.5530;1.4000;
1962;4;16;1.6440;1.4000;
1962;4;17;1.7130;1.4000;
1962;4;18;1.7470;1.4000;
1962;4;19;1.7600;1.4000;
1962;4;20;1.7280;1.4000;
1962;4;21;1.6520;1.4000;
1962;4;22;1.5640;1.4000;
1962;4;23;1.4820;1.4000;
1962;4;24;1.4070;1.4000;
1962;4;25;1.3810;1.4000;
1962;4;26;1.4090;1.4000;
1962;4;27;1.5010;1.4000;
1962;4;28;1.6510;1.4000;
1962;4;29;1.8400;1.4000;
1962;4;30;2.0370;1.4000;
1962;5;1;2.1840;1.4000;
1962;5;2;2.2400;1.4000;
1962;5;3;2.1800;1.4000;
1962;5;4;2.0190;1.4000;
1962;5;5;1.8120;1.4000;
1962;5;6;1.6090;1.4000;
1962;5;7;1.4490;1.4000;
1962;5;8;1.3580;1.4000;
1962;5;9;1.3290;1.4000;
1962;5;10;1.3500;1.4000;
1962;5;11;1.4070;1.4000;
1962;5;12;1.4940;1.4000;
1962;5;13;1.5760;1.4000;
