mês;ano;valor
janeiro;2018,00;101,26
fevereiro;2018,00;89,11
março;2018,00;99,17
abril;2018,00;98,00
maio;2018,00;84,99
junho;2018,00;99,70
julho;2018,00;103,17
agosto;2018,00;110,88
setembro;2018,00;96,89
outubro;2018,00;103,78
novembro;2018,00;98,25
dezembro;2018,00;92,44
janeiro;2019,00;104,71
fevereiro;2019,00;96,63
março;2019,00;97,40
abril;2019,00;99,39
maio;2019,00;107,70
junho;2019,00;92,92
julho;2019,00;110,04
agosto;2019,00;109,62
setembro;2019,00;104,05
outubro;2019,00;110,89
novembro;2019,00;101,94
dezembro;2019,00;97,64
janeiro;2020,00;101,67
fevereiro;2020,00;95,82
março;2020,00;100,76
abril;2020,00;93,52
maio;2020,00;98,31
junho;2020,00;100,24
julho;2020,00;106,86
agosto;2020,00;102,83
setembro;2020,00;105,81
outubro;2020,00;110,72
novembro;2020,00;100,90
dezembro;2020,00;104,45
janeiro;2021,00;97,42
fevereiro;2021,00;96,25
março;2021,00;104,67
abril;2021,00;97,12
maio;2021,00;100,84
junho;2021,00;101,50
julho;2021,00;106,27
agosto;2021,00;107,87
setembro;2021,00;92,94
outubro;2021,00;100,51
novembro;2021,00;103,13
dezembro;2021,00;107,73
janeiro;2022,00;102,38
fevereiro;2022,00;97,58
março;2022,00;104,61
abril;2022,00;95,86
maio;2022,00;107,79
junho;2022,00;106,91
