Year;Coefficient;Std.Error;t-value;t-prob;Part.R^2
V1857;-2.53996;0.3504;-7.25;0;0.0513
V1884;-2.31565;0.3869;-5.98;0;0.0355
V1600;-1.53802;0.3441;-4.47;0;0.0201
V1815;-1.45984;0.3433;-4.25;0;0.0183
V1903;-1.27133;0.3443;-3.69;0.0002;0.0138
V1762;-1.18884;0.3455;-3.44;0.0006;0.012
V1258;-1.13786;0.3864;-2.94;0.0033;0.0088
V1259;-0.886319;0.3895;-2.28;0.0231;0.0053
V1801;0.872194;0.3442;2.53;0.0114;0.0066
V1869;0.89977;0.3434;2.62;0.0089;0.007
V1998;0.903909;0.3996;2.26;0.0239;0.0052
V1996;0.917779;0.3614;2.54;0.0113;0.0066
V1936;0.952652;0.3458;2.76;0.006;0.0077
V1933;0.9638;0.3444;2.8;0.0052;0.008
V1999;0.990299;0.4003;2.47;0.0135;0.0063
V1943;1.00203;0.3448;2.91;0.0037;0.0086
V1971;1.00706;0.3446;2.92;0.0036;0.0087
V2005;1.22422;0.4028;3.04;0.0024;0.0094
V1980;1.23669;0.3458;3.58;0.0004;0.013
V2003;1.29834;0.3681;3.53;0.0004;0.0126
V1994;1.39999;0.3523;3.97;0.0001;0.016
V1885;1.45647;0.389;3.74;0.0002;0.0142
V1859;1.49175;0.3543;4.21;0;0.0179
V2001;1.51905;0.3654;4.16;0;0.0175
V1989;1.54043;0.3522;4.37;0;0.0193
V1985;1.60839;0.3481;4.62;0;0.0215
