Years;Coefficient;Std.Error;t-value;t-prob;Part.R^2
V1258;-4.24038;0.2636;-16.1;0;0.2145
V1809;-2.82495;0.2567;-11;0;0.1133
V1600;-2.44327;0.2568;-9.51;0;0.0872
V1286;-2.26564;0.2573;-8.81;0;0.0756
V1641;-2.23123;0.2564;-8.7;0;0.0739
V1832;-2.21551;0.2899;-7.64;0;0.058
V1228;-2.19373;0.2569;-8.54;0;0.0714
V1816;-1.88677;0.2954;-6.39;0;0.0413
V1815;-1.74284;0.2884;-6.04;0;0.0371
V1585;-1.60259;0.2881;-5.56;0;0.0316
V1835;-1.56206;0.2634;-5.93;0;0.0358
V1983;-1.35199;0.2889;-4.68;0;0.0226
V1694;-1.23315;0.2882;-4.28;0;0.0189
V1018;-1.23011;0.2884;-4.26;0;0.0188
V1696;-1.17015;0.2926;-4;0.0001;0.0166
V1041;-1.16398;0.2608;-4.46;0;0.0206
V1442;-1.14821;0.2563;-4.48;0;0.0207
V1674;-1.11768;0.2573;-4.34;0;0.0195
V1460;-1.00427;0.2571;-3.91;0.0001;0.0158
V1331;-0.967473;0.2563;-3.77;0.0002;0.0148
V1695;-0.96256;0.3206;-3;0.0027;0.0094
V1345;-0.928441;0.2559;-3.63;0.0003;0.0137
V1312;-0.823206;0.2559;-3.22;0.0013;0.0108
V1196;-0.816224;0.2563;-3.18;0.0015;0.0106
V1784;-0.793907;0.256;-3.1;0.002;0.01
V1668;-0.793724;0.256;-3.1;0.002;0.01
V1526;-0.787259;0.2562;-3.07;0.0022;0.0099
V1740;-0.781257;0.2561;-3.05;0.0023;0.0097
V1457;-0.772176;0.2566;-3.01;0.0027;0.0095
V1731;-0.719982;0.256;-2.81;0.005;0.0083
V1454;-0.714901;0.256;-2.79;0.0053;0.0082
V1560;-0.696551;0.2559;-2.72;0.0066;0.0078
V1645;-0.69534;0.2576;-2.7;0.0071;0.0076
V1372;-0.679411;0.2561;-2.65;0.0081;0.0074
V1170;-0.671759;0.256;-2.62;0.0088;0.0072
V1788;-0.642255;0.2559;-2.51;0.0123;0.0066
V1554;-0.641832;0.2562;-2.51;0.0124;0.0066
V2003;0.738725;0.2647;2.79;0.0054;0.0081
V1039;0.799528;0.2604;3.07;0.0022;0.0098
V1586;0.829946;0.2893;2.87;0.0042;0.0086
V1019;0.830482;0.2888;2.88;0.0041;0.0086
V1173;0.875149;0.2562;3.42;0.0007;0.0122
V1999;0.895699;0.2663;3.36;0.0008;0.0118
V1833;0.899581;0.2962;3.04;0.0025;0.0096
V1949;0.909618;0.2571;3.54;0.0004;0.013
V1989;0.923534;0.2568;3.6;0.0003;0.0135
V1997;0.944115;0.2613;3.61;0.0003;0.0136
V2001;1.12154;0.2671;4.2;0;0.0183
V1984;1.15091;0.2883;3.99;0.0001;0.0165
V1260;1.31766;0.2739;4.81;0;0.0238
