Years;Coefficient;Std.Error;t-value;t-prob;Part.R^2
V1258;-4.36746;0.3357;-13;0;0.1496
V1816;-2.35511;0.3681;-6.4;0;0.0408
V1177;-2.2429;0.3325;-6.75;0;0.0452
V1309;-1.63704;0.3762;-4.35;0;0.0193
V1287;-1.55382;0.3681;-4.22;0;0.0182
V1232;-1.52156;0.3321;-4.58;0;0.0214
V1452;-1.46859;0.3324;-4.42;0;0.0199
V1601;-1.27094;0.3273;-3.88;0.0001;0.0154
V1102;-1.18874;0.3263;-3.64;0.0003;0.0136
V1884;-1.12636;0.3681;-3.06;0.0023;0.0096
V1168;-1.10175;0.3268;-3.37;0.0008;0.0117
V1810;-1.0502;0.327;-3.21;0.0014;0.0106
V1748;-0.994001;0.3678;-2.7;0.007;0.0075
V1629;-0.968326;0.3263;-2.97;0.0031;0.0091
V1690;-0.921041;0.3263;-2.82;0.0049;0.0082
V1963;-0.917602;0.3286;-2.79;0.0053;0.008
V1145;-0.754752;0.3263;-2.31;0.0209;0.0055
V1892;0.673989;0.3265;2.06;0.0393;0.0044
V1307;0.733695;0.3334;2.2;0.028;0.005
V1818;0.809008;0.3737;2.16;0.0306;0.0048
V1986;0.88912;0.3301;2.69;0.0072;0.0075
V1454;0.895754;0.3336;2.68;0.0074;0.0074
V1859;0.89617;0.3264;2.75;0.0062;0.0078
V1165;0.912128;0.3263;2.8;0.0053;0.0081
V1998;1.0163;0.3382;3;0.0027;0.0093
V1949;1.04269;0.3292;3.17;0.0016;0.0103
V1970;1.10261;0.3277;3.37;0.0008;0.0116
V1996;1.23997;0.3347;3.7;0.0002;0.0141
V1310;1.2595;0.3708;3.4;0.0007;0.0119
V1288;1.25967;0.3687;3.42;0.0007;0.012
V1179;1.2704;0.3357;3.78;0.0002;0.0147
V1749;1.27359;0.3678;3.46;0.0006;0.0123
V1885;1.35964;0.3672;3.7;0.0002;0.0141
V1817;1.56933;0.4108;3.82;0.0001;0.0149
V1234;1.60916;0.3335;4.82;0;0.0236
V1260;2.36301;0.3444;6.86;0;0.0467
