Years;Coefficient;Std.Error;t-value;t-prob;Part.R^2
V1258;-5.01275;0.3565;-14.1;0;0.1702
V1600;-2.98461;0.3534;-8.45;0;0.0689
V1816;-2.67386;0.3565;-7.5;0;0.0551
V1641;-2.36023;0.3537;-6.67;0;0.0442
V1460;-2.20235;0.3975;-5.54;0;0.0309
V1286;-1.72338;0.3534;-4.88;0;0.0241
V1228;-1.64514;0.3529;-4.66;0;0.022
V1668;-1.61337;0.3531;-4.57;0;0.0212
V1809;-1.58359;0.353;-4.49;0;0.0204
V1695;-1.54119;0.3538;-4.36;0;0.0193
V1806;-1.30694;0.3969;-3.29;0.001;0.0111
V1832;-1.24648;0.3524;-3.54;0.0004;0.0128
V1584;-1.24126;0.3534;-3.51;0.0005;0.0126
V1652;-1.23768;0.3972;-3.12;0.0019;0.01
V1835;-1.06271;0.3533;-3.01;0.0027;0.0093
V1759;-1.05101;0.3529;-2.98;0.003;0.0091
V1225;-1.01748;0.3526;-2.89;0.004;0.0086
V1442;-1.00274;0.353;-2.84;0.0046;0.0083
V2001;0.914303;0.3675;2.49;0.013;0.0064
V1999;0.938618;0.3632;2.58;0.0099;0.0069
V1978;0.972516;0.3592;2.71;0.0069;0.0075
V1980;0.98283;0.3609;2.72;0.0066;0.0076
V1916;1.00694;0.3528;2.85;0.0044;0.0084
V1179;1.01953;0.3527;2.89;0.0039;0.0086
V1987;1.02408;0.3549;2.89;0.004;0.0086
V1805;1.10481;0.3968;2.78;0.0055;0.008
V1158;1.13327;0.353;3.21;0.0014;0.0106
V2003;1.18022;0.3708;3.18;0.0015;0.0104
V1940;1.21826;0.3529;3.45;0.0006;0.0122
V1651;1.34589;0.3973;3.39;0.0007;0.0118
V1461;1.35846;0.3987;3.41;0.0007;0.0119
V2005;1.38404;0.4104;3.37;0.0008;0.0117
V1052;1.39925;0.3527;3.97;0.0001;0.0161
V1996;1.45654;0.3557;4.09;0;0.0171
