Year;Coefficient;Std.Error;t-value;t-prob;Part.R^2
1453;-1.28406;0.2542;-5.05;0;0.0253
1601;-1.11303;0.2546;-4.37;0;0.019
1258;-1.09671;0.2541;-4.32;0;0.0186
1783;-1.04355;0.2541;-4.11;0;0.0169
1641;-0.957992;0.2537;-3.78;0.0002;0.0143
1109;-0.932212;0.2547;-3.66;0.0003;0.0134
1698;-0.887336;0.2547;-3.48;0.0005;0.0122
1816;-0.857191;0.2553;-3.36;0.0008;0.0113
1884;-0.855189;0.2546;-3.36;0.0008;0.0113
1230;-0.745971;0.2539;-2.94;0.0034;0.0087
1912;-0.744017;0.2535;-2.93;0.0034;0.0087
1585;-0.719409;0.2538;-2.83;0.0047;0.0081
1345;-0.717177;0.2541;-2.82;0.0049;0.008
1099;-0.692984;0.2538;-2.73;0.0064;0.0075
