Year;Coefficient;Std.Error;t-value;t-prob;Part.R^2
1002;-8.48455;2.153;-3.94;0.0001;0.0158
1258;-2.46149;0.4385;-5.61;0;0.0316
1816;-2.29237;0.4408;-5.2;0;0.0272
1641;-2.10757;0.4384;-4.81;0;0.0234
1453;-1.96045;0.4384;-4.47;0;0.0203
1601;-1.86972;0.4389;-4.26;0;0.0184
1783;-1.65622;0.4379;-3.78;0.0002;0.0146
1695;-1.59266;0.4381;-3.64;0.0003;0.0135
1032;-1.52931;0.4377;-3.49;0.0005;0.0125
1836;-1.51741;0.4393;-3.45;0.0006;0.0122
1109;-1.46403;0.4392;-3.33;0.0009;0.0114
1170;-1.44059;0.4402;-3.27;0.0011;0.011
1698;-1.30635;0.4407;-2.96;0.0031;0.009
1585;-1.30288;0.4378;-2.98;0.003;0.0091
1740;-1.29841;0.4379;-2.96;0.0031;0.009
1884;-1.26977;0.4385;-2.9;0.0039;0.0086
1667;-1.23684;0.4387;-2.82;0.0049;0.0082
1466;-1.23473;0.4377;-2.82;0.0049;0.0082
1912;-1.19555;0.4375;-2.73;0.0064;0.0077
1179;-1.19247;0.4397;-2.71;0.0068;0.0076
1656;1.22572;0.4387;2.79;0.0053;0.008
1167;1.26987;0.4396;2.89;0.004;0.0086
1478;1.39276;0.4378;3.18;0.0015;0.0104
1058;1.39924;0.4389;3.19;0.0015;0.0104
