Year;Coefficient;Std.Error;t-value;t-prob;Part.R^2
1641;-2.00949;0.2955;-6.8;0;0.0451
1601;-1.40115;0.2969;-4.72;0;0.0223
1453;-1.38423;0.2956;-4.68;0;0.0219
1698;-1.24445;0.297;-4.19;0;0.0176
1258;-1.20426;0.2957;-4.07;0.0001;0.0167
1783;-1.11862;0.2955;-3.79;0.0002;0.0144
1816;-1.02515;0.2968;-3.45;0.0006;0.0121
1832;-1.02379;0.296;-3.46;0.0006;0.0121
1230;-1.01202;0.2956;-3.42;0.0006;0.0118
1108;-0.980012;0.2959;-3.31;0.001;0.0111
1169;-0.977423;0.3335;-2.93;0.0035;0.0087
1695;-0.970055;0.2956;-3.28;0.0011;0.0109
1835;-0.969611;0.2966;-3.27;0.0011;0.0108
1812;-0.956697;0.2953;-3.24;0.0012;0.0106
1912;-0.777762;0.2953;-2.63;0.0086;0.007
1033;0.748291;0.2953;2.53;0.0114;0.0065
1425;0.838842;0.296;2.83;0.0047;0.0081
1499;0.877882;0.2953;2.97;0.003;0.009
1168;1.11494;0.3329;3.35;0.0008;0.0113
2003;1.14791;0.2977;3.86;0.0001;0.015
