Years;SCH15;STO15;WIL16;BCC;CCSM;GISS;IPSL;MPI
1001;0.0910;;-0.2208;-0.4074;-0.9475;0.4056;-1.2959;-0.6413
1002;0.1500;;-0.2208;-0.8981;-1.0918;0.2888;-0.7736;-0.9757
1003;-0.3010;;-0.3131;-0.9146;-0.8062;-0.2537;-1.4451;-0.8966
1004;-0.2465;;-0.2577;-0.6610;-0.5720;-0.1044;-1.4617;-0.6202
1005;0.0725;;0.0194;-0.5749;-0.6674;0.0728;-1.2073;-0.7228
1006;0.1527;;-0.0545;-0.7344;-0.7181;-0.2749;-0.8698;-1.2706
1007;-0.1624;;-0.3316;-0.5030;-0.6898;-0.1857;-1.0208;-1.1704
1008;0.0401;;-0.2023;-0.3328;-0.6244;-0.0626;-1.4452;-0.6259
1009;0.2607;;-0.2208;-0.7733;-0.7077;-0.0233;-1.3698;-0.4897
1010;-0.1280;;-0.4794;-0.2895;-0.7620;0.1228;-0.8578;-0.4863
1011;-0.0230;;-0.0730;-0.5729;-0.5533;0.2442;-0.9322;-0.2844
1012;-0.2431;;-0.1653;-0.5471;-0.6198;0.0882;-1.2532;-0.5585
1013;0.0097;;-0.1284;-0.6118;-0.5402;0.4222;-0.8887;-0.6845
1014;0.2661;;0.3149;-0.5646;-0.3715;0.1704;-1.2794;-0.6112
1015;-0.0324;;-0.0176;-0.4697;-0.7076;0.1271;-0.8678;-0.4618
1016;0.1871;;0.0748;-0.6994;-0.2894;0.0809;-1.0499;-0.5925
1017;-0.0377;;0.0748;-0.7236;-0.7090;0.2549;-0.9757;-0.4704
1018;0.3170;;0.5181;-0.6719;-0.6655;-0.7297;-0.9594;-1.1571
1019;0.2773;;0.1117;-0.9194;-0.5205;-0.1526;-1.1730;-0.8588
1020;0.2855;;-0.0915;-0.4989;-0.2034;0.1229;-1.1630;-0.4739
1021;0.2263;;-0.3131;-0.6598;-0.3316;-0.3895;-1.0735;-1.1044
1022;0.2238;;0.1117;-0.1881;-0.8442;-0.2740;-1.2110;-0.6607
