Date,time,CO2
1981-05-01,0,342.74
1981-06-01,1,342.08
1981-07-01,2,340.32
1981-08-01,3,338.26
1981-09-01,4,336.52
1981-10-01,5,336.68
1981-11-01,6,338.19
1981-12-01,7,339.44
1982-01-01,8,340.57
1982-02-01,9,341.44
1982-03-01,10,342.53
1982-04-01,11,343.39
1982-05-01,12,343.96
1982-06-01,13,343.18
1982-07-01,14,341.88
1982-08-01,15,339.65
1982-09-01,16,337.81
1982-10-01,17,337.69
1982-11-01,18,339.09
1982-12-01,19,340.32
1983-01-01,20,341.2
1983-02-01,21,342.35
1983-03-01,22,342.93
1983-04-01,23,344.77
1983-05-01,24,345.58
1983-06-01,25,345.14
1983-07-01,26,343.81
1983-08-01,27,342.21
1983-09-01,28,339.69
1983-10-01,29,339.82
1983-11-01,30,340.98
1983-12-01,31,342.82
1984-01-01,32,343.52
1984-02-01,33,344.33
1984-03-01,34,345.11
1984-04-01,35,346.88
1984-05-01,36,347.25
1984-06-01,37,346.62
1984-07-01,38,345.22
1984-08-01,39,343.11
1984-09-01,40,340.9
1984-10-01,41,341.18
1984-11-01,42,342.8
1984-12-01,43,344.04
1985-01-01,44,344.79
1985-02-01,45,345.82
1985-03-01,46,347.25
1985-04-01,47,348.17
1985-05-01,48,348.74
1985-06-01,49,348.07
1985-07-01,50,346.38
1985-08-01,51,344.51
1985-09-01,52,342.92
1985-10-01,53,342.62
1985-11-01,54,344.06
1985-12-01,55,345.38
1986-01-01,56,346.11
1986-02-01,57,346.78
1986-03-01,58,347.68
1986-04-01,59,349.37
1986-05-01,60,350.03
1986-06-01,61,349.37
1986-07-01,62,347.76
1986-08-01,63,345.73
1986-09-01,64,344.68
1986-10-01,65,343.99
1986-11-01,66,345.48
1986-12-01,67,346.72
1987-01-01,68,347.84
1987-02-01,69,348.29
1987-03-01,70,349.23
1987-04-01,71,350.8
1987-05-01,72,351.66
1987-06-01,73,351.07
1987-07-01,74,349.33
1987-08-01,75,347.92
1987-09-01,76,346.27
1987-10-01,77,346.18
1987-11-01,78,347.64
1987-12-01,79,348.78
1988-01-01,80,350.25
1988-02-01,81,351.54
1988-03-01,82,352.05
1988-04-01,83,353.41
1988-05-01,84,354.04
1988-06-01,85,353.62
1988-07-01,86,352.22
1988-08-01,87,350.27
1988-09-01,88,348.55
1988-10-01,89,348.72
1988-11-01,90,349.91
1988-12-01,91,351.18
1989-01-01,92,352.6
1989-02-01,93,352.92
1989-03-01,94,353.53
1989-04-01,95,355.26
1989-05-01,96,355.52
1989-06-01,97,354.97
1989-07-01,98,353.75
1989-08-01,99,351.52
1989-09-01,100,349.64
1989-10-01,101,349.83
1989-11-01,102,351.14
1989-12-01,103,352.37
1990-01-01,104,353.5
1990-02-01,105,354.55
1990-03-01,106,355.23
1990-04-01,107,356.04
1990-05-01,108,357.0
1990-06-01,109,356.07
1990-07-01,110,354.67
1990-08-01,111,352.76
1990-09-01,112,350.82
1990-10-01,113,351.04
1990-11-01,114,352.69
1990-12-01,115,354.07
1991-01-01,116,354.59
1991-02-01,117,355.63
1991-03-01,118,357.03
1991-04-01,119,358.48
1991-05-01,120,359.22
1991-06-01,121,358.12
1991-07-01,122,356.06
1991-08-01,123,353.92
1991-09-01,124,352.05
1991-10-01,125,352.11
1991-11-01,126,353.64
1991-12-01,127,354.89
1992-01-01,128,355.88
1992-02-01,129,356.63
1992-03-01,130,357.72
1992-04-01,131,359.07
1992-05-01,132,359.58
1992-06-01,133,359.17
1992-07-01,134,356.94
1992-08-01,135,354.92
1992-09-01,136,352.94
1992-10-01,137,353.23
1992-11-01,138,354.09
1992-12-01,139,355.33
1993-01-01,140,356.63
1993-02-01,141,357.1
1993-03-01,142,358.32
1993-04-01,143,359.41
1993-05-01,144,360.23
1993-06-01,145,359.55
1993-07-01,146,357.53
1993-08-01,147,355.48
1993-09-01,148,353.67
1993-10-01,149,353.95
1993-11-01,150,355.3
1993-12-01,151,356.78
1994-01-01,152,358.34
1994-02-01,153,358.89
1994-03-01,154,359.95
1994-04-01,155,361.25
1994-05-01,156,361.67
1994-06-01,157,360.94
1994-07-01,158,359.55
1994-08-01,159,357.49
1994-09-01,160,355.84
1994-10-01,161,356.0
1994-11-01,162,357.59
1994-12-01,163,359.05
1995-01-01,164,359.98
1995-02-01,165,361.03
1995-03-01,166,361.66
1995-04-01,167,363.48
1995-05-01,168,363.82
1995-06-01,169,363.3
1995-07-01,170,361.94
1995-08-01,171,359.5
1995-09-01,172,358.11
1995-10-01,173,357.8
1995-11-01,174,359.61
1995-12-01,175,360.74
1996-01-01,176,362.09
1996-02-01,177,363.29
1996-03-01,178,364.06
1996-04-01,179,364.76
1996-05-01,180,365.45
1996-06-01,181,365.01
1996-07-01,182,363.7
1996-08-01,183,361.54
1996-09-01,184,359.51
1996-10-01,185,359.65
1996-11-01,186,360.8
1996-12-01,187,362.38
1997-01-01,188,363.23
1997-02-01,189,364.06
1997-03-01,190,364.61
1997-04-01,191,366.4
1997-05-01,192,366.84
1997-06-01,193,365.68
1997-07-01,194,364.52
1997-08-01,195,362.57
1997-09-01,196,360.24
1997-10-01,197,360.83
1997-11-01,198,362.49
1997-12-01,199,364.34
