,new_cases_smoothed
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,0.286
2020-03-03,0.286
2020-03-04,0.429
2020-03-05,0.429
2020-03-06,1.714
2020-03-07,1.571
2020-03-08,2.571
2020-03-09,3.286
2020-03-10,4.143
2020-03-11,4.857
2020-03-12,6.857
2020-03-13,19.714
2020-03-14,19.714
2020-03-15,20.286
2020-03-16,25.0
2020-03-17,41.429
2020-03-18,47.714
2020-03-19,81.286
2020-03-20,91.714
2020-03-21,124.286
2020-03-22,197.714
2020-03-23,246.286
2020-03-24,275.143
2020-03-25,311.714
2020-03-26,337.714
2020-03-27,374.857
2020-03-28,411.857
2020-03-29,387.143
2020-03-30,379.286
2020-03-31,495.714
2020-04-01,611.714
2020-04-02,722.714
2020-04-03,805.571
2020-04-04,922.286
2020-04-05,982.0
2020-04-06,1083.143
2020-04-07,1188.143
2020-04-08,1333.429
2020-04-09,1435.429
2020-04-10,1511.714
2020-04-11,1481.0
2020-04-12,1580.286
2020-04-13,1609.857
2020-04-14,1604.0
2020-04-15,1735.714
2020-04-16,1761.857
2020-04-17,2006.286
2020-04-18,2275.857
2020-04-19,2351.714
2020-04-20,2473.286
2020-04-21,2545.286
2020-04-22,2491.0
2020-04-23,2801.571
2020-04-24,2908.714
2020-04-25,3238.0
2020-04-26,3492.286
2020-04-27,3814.714
2020-04-28,4308.0
2020-04-29,4846.857
2020-04-30,5307.286
2020-05-01,5451.286
2020-05-02,5396.571
2020-05-03,5532.286
2020-05-04,5882.0
2020-05-05,6031.429
2020-05-06,6703.714
2020-05-07,6940.857
2020-05-08,7813.143
2020-05-09,8423.0
2020-05-10,8696.143
2020-05-11,8710.571
2020-05-12,8965.571
2020-05-13,9075.143
2020-05-14,9627.429
2020-05-15,10485.286
2020-05-16,11064.286
2020-05-17,11197.286
2020-05-18,12253.429
2020-05-19,13381.571
2020-05-20,14926.714
2020-05-21,15656.571
2020-05-22,16325.286
2020-05-23,16864.857
2020-05-24,17850.429
2020-05-25,17638.857
2020-05-26,17611.714
2020-05-27,17248.857
2020-05-28,18706.0
2020-05-29,19432.143
2020-05-30,21621.286
2020-05-31,21443.429
2020-06-01,21778.0
2020-06-02,23970.857
2020-06-03,24811.714
2020-06-04,25328.429
2020-06-05,26072.857
2020-06-06,24854.143
2020-06-07,25534.857
2020-06-08,25847.571
2020-06-09,25850.571
2020-06-10,26951.286
2020-06-11,26485.286
2020-06-12,25368.286
2020-06-13,25002.571
2020-06-14,24832.0
2020-06-15,25871.857
2020-06-16,26626.857
2020-06-17,26217.571
2020-06-18,25764.429
2020-06-19,30304.0
2020-06-20,36345.857
2020-06-21,
2020-06-22,34457.429
2020-06-23,34820.857
2020-06-24,36264.857
2020-06-25,38542.571
2020-06-26,36946.143
2020-06-27,33145.714
2020-06-28,37843.286
2020-06-29,36894.429
2020-06-30,36916.286
2020-07-01,37743.714
2020-07-02,38163.286
2020-07-03,37899.857
2020-07-04,37420.857
2020-07-05,36322.286
2020-07-06,36737.143
2020-07-07,37739.857
2020-07-08,37514.857
2020-07-09,37309.286
2020-07-10,37490.857
2020-07-11,37688.0
2020-07-12,37468.714
2020-07-13,37245.714
2020-07-14,36706.143
2020-07-15,35976.429
2020-07-16,36079.429
2020-07-17,34694.714
2020-07-18,33381.286
2020-07-19,33346.143
2020-07-20,33326.143
2020-07-21,33898.286
2020-07-22,37613.714
2020-07-23,39562.714
2020-07-24,42746.286
2020-07-25,45858.0
2020-07-26,45752.429
2020-07-27,46503.571
2020-07-28,47514.571
2020-07-29,45986.143
2020-07-30,46090.286
2020-07-31,45570.429
2020-08-01,44714.143
2020-08-02,44913.143
2020-08-03,43783.857
