timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,year
2015-01-04,1039,4.0,3.5,100.0,15.0,4.0,0.0,1.0,3.0,2015
2015-01-05,3161,10.0,9.0,93.0,14.0,4.0,0.0,0.0,3.0,2015
2015-01-06,3534,11.0,11.0,88.0,27.5,7.0,0.0,0.0,3.0,2015
2015-01-07,3618,10.0,7.0,87.0,30.5,7.0,0.0,0.0,3.0,2015
2015-01-08,2351,12.0,12.0,88.0,27.0,7.0,0.0,0.0,3.0,2015
2015-01-09,3505,15.5,15.5,85.0,44.0,7.0,0.0,0.0,3.0,2015
2015-01-10,1436,14.0,14.0,82.0,48.0,7.0,0.0,1.0,3.0,2015
2015-01-11,1813,9.0,5.0,75.0,37.0,7.0,0.0,1.0,3.0,2015
2015-01-12,3418,12.5,12.5,94.0,39.0,7.0,0.0,0.0,3.0,2015
2015-01-13,3960,12.0,12.0,88.0,30.0,7.0,0.0,0.0,3.0,2015
2015-01-14,3904,10.0,6.0,79.0,40.0,26.0,0.0,0.0,3.0,2015
2015-01-15,3673,11.5,11.5,82.0,45.0,26.0,0.0,0.0,3.0,2015
2015-01-16,3546,7.0,4.5,81.0,31.0,7.0,0.0,0.0,3.0,2015
2015-01-17,1531,7.0,4.0,81.0,21.0,7.0,0.0,1.0,3.0,2015
2015-01-18,1450,5.0,4.0,93.0,14.0,7.0,0.0,1.0,3.0,2015
2015-01-19,3554,5.0,4.0,93.0,9.0,3.0,0.0,0.0,3.0,2015
2015-01-20,3700,5.0,2.0,96.5,18.5,4.0,0.0,0.0,3.0,2015
2015-01-21,3655,3.5,2.5,87.0,19.0,7.0,0.0,0.0,3.0,2015
2015-01-22,3828,5.0,2.5,87.0,14.0,4.0,0.0,0.0,3.0,2015
2015-01-23,3328,8.0,4.0,89.5,24.0,7.0,0.0,0.0,3.0,2015
2015-01-24,1798,9.0,6.0,93.0,24.0,26.0,0.0,1.0,3.0,2015
2015-01-25,1705,9.0,6.0,87.0,22.0,4.0,0.0,1.0,3.0,2015
2015-01-26,3589,10.5,9.0,88.0,24.0,7.0,0.0,0.0,3.0,2015
2015-01-27,3835,9.0,7.0,78.5,22.0,4.0,0.0,0.0,3.0,2015
2015-01-28,3576,10.5,9.0,91.0,41.5,7.0,0.0,0.0,3.0,2015
2015-01-29,3783,6.5,1.5,81.0,35.0,26.0,0.0,0.0,3.0,2015
2015-01-30,3090,6.0,2.5,93.0,24.0,26.0,0.0,0.0,3.0,2015
2015-01-31,926,5.0,1.0,93.0,29.0,26.0,0.0,1.0,3.0,2015
2015-02-01,1117,6.0,1.5,87.0,34.0,26.0,0.0,1.0,3.0,2015
2015-02-02,3556,3.0,-0.5,70.0,17.0,2.0,0.0,0.0,3.0,2015
2015-02-03,2972,4.0,1.0,93.0,17.5,26.0,0.0,0.0,3.0,2015
2015-02-04,3502,5.0,2.0,93.0,19.0,7.0,0.0,0.0,3.0,2015
2015-02-05,2894,5.0,2.0,93.0,21.0,26.0,0.0,0.0,3.0,2015
2015-02-06,3214,5.0,1.0,84.0,27.0,4.0,0.0,0.0,3.0,2015
2015-02-07,1165,6.0,3.5,87.0,16.0,4.0,0.0,1.0,3.0,2015
2015-02-08,1824,8.0,6.5,87.0,14.0,4.0,0.0,1.0,3.0,2015
2015-02-09,3721,9.5,8.5,93.0,16.5,4.0,0.0,0.0,3.0,2015
2015-02-10,3788,7.0,7.0,93.0,14.0,4.0,0.0,0.0,3.0,2015
2015-02-11,3671,5.5,5.0,81.0,12.0,4.0,0.0,0.0,3.0,2015
2015-02-12,3729,5.0,4.0,81.0,12.0,4.0,0.0,0.0,3.0,2015
2015-02-13,3205,9.0,6.5,93.0,26.0,7.0,0.0,0.0,3.0,2015
2015-02-14,1475,8.5,6.0,96.5,19.5,7.0,0.0,1.0,3.0,2015
2015-02-15,1870,9.5,9.0,96.5,11.0,26.0,0.0,1.0,3.0,2015
2015-02-16,3323,9.0,8.0,100.0,17.0,26.0,0.0,0.0,3.0,2015
2015-02-17,3582,9.0,6.5,81.0,18.0,3.0,0.0,0.0,3.0,2015
2015-02-18,3582,10.5,9.5,81.0,21.5,3.0,0.0,0.0,3.0,2015
2015-02-19,3559,9.0,5.5,90.0,29.0,7.0,0.0,0.0,3.0,2015
2015-02-20,3051,8.0,7.0,93.0,16.0,7.0,0.0,0.0,3.0,2015
2015-02-21,1530,7.0,4.5,93.0,22.5,7.0,0.0,1.0,3.0,2015
2015-02-22,1294,10.5,9.0,88.0,33.5,7.0,0.0,1.0,3.0,2015
2015-02-23,3618,9.5,5.5,78.5,38.0,7.0,0.0,0.0,3.0,2015
2015-02-24,3841,9.5,5.5,81.0,39.0,7.0,0.0,0.0,3.0,2015
2015-02-25,2651,11.5,11.5,93.0,18.0,7.0,0.0,0.0,3.0,2015
2015-02-26,3628,12.0,12.0,94.0,22.0,7.0,0.0,0.0,3.0,2015
2015-02-27,3398,9.0,7.0,81.0,18.5,2.0,0.0,0.0,3.0,2015
2015-02-28,1224,11.0,11.0,93.0,32.0,26.0,0.0,1.0,3.0,2015
2015-03-01,2006,12.0,12.0,85.0,43.0,7.0,0.0,1.0,0.0,2015
2015-03-02,3573,9.0,5.0,81.0,45.5,2.0,0.0,0.0,0.0,2015
2015-03-03,3818,9.5,5.5,84.0,33.0,7.0,0.0,0.0,0.0,2015
2015-03-04,3803,10.0,7.0,84.0,29.5,3.0,0.0,0.0,0.0,2015
2015-03-05,3807,11.5,11.5,81.0,25.0,4.0,0.0,0.0,0.0,2015
2015-03-06,3548,13.0,13.0,71.0,26.0,4.0,0.0,0.0,0.0,2015
2015-03-07,3179,16.0,16.0,82.0,25.0,1.0,0.0,1.0,0.0,2015
2015-03-08,2179,13.5,13.5,90.0,24.0,4.0,0.0,1.0,0.0,2015
2015-03-09,3886,11.0,11.0,91.0,22.0,7.0,0.0,0.0,0.0,2015
2015-03-10,4033,12.0,12.0,82.0,19.5,1.0,0.0,0.0,0.0,2015
2015-03-11,4053,13.0,13.0,90.0,21.0,7.0,0.0,0.0,0.0,2015
