,gas_consumption
1940-01-01,0.0
1941-01-01,0.0
1942-01-01,0.0
1943-01-01,0.0
1944-01-01,0.0
1945-01-01,0.0
1946-01-01,0.0
1947-01-01,0.0
1948-01-01,0.0
1949-01-01,0.0
1950-01-01,0.0
1951-01-01,0.0
1952-01-01,0.0
1953-01-01,0.0
1954-01-01,0.0
1955-01-01,0.0
1956-01-01,0.0
1957-01-01,0.0
1958-01-01,0.0
1959-01-01,0.0
1960-01-01,0.0
1961-01-01,0.0
1962-01-01,0.0
1963-01-01,0.0
1964-01-01,0.0
1965-01-01,38108.424
1966-01-01,41542.774
1967-01-01,44643.178
1968-01-01,48791.133
1969-01-01,53682.306
1970-01-01,58537.494
1971-01-01,62781.744
1972-01-01,66397.131
1973-01-01,69660.527
1974-01-01,71519.097
1975-01-01,71655.671
1976-01-01,75967.682
1977-01-01,78470.49
1978-01-01,81755.403
1979-01-01,86773.803
1980-01-01,87472.046
1981-01-01,88387.526
1982-01-01,88737.465
1983-01-01,90219.955
1984-01-01,97504.554
1985-01-01,99640.799
1986-01-01,100596.976
1987-01-01,105884.831
1988-01-01,110685.491
1989-01-01,115425.207
1990-01-01,119263.57
1991-01-01,122304.454
1992-01-01,122749.112
1993-01-01,124039.769
1994-01-01,124749.89600000001
1995-01-01,129237.918
1996-01-01,135816.927
1997-01-01,134904.116
1998-01-01,137392.229
1999-01-01,141373.129
2000-01-01,146985.541
2001-01-01,149019.15
2002-01-01,153335.345
2003-01-01,157747.637
2004-01-01,163757.249
2005-01-01,168197.655
2006-01-01,172450.614
2007-01-01,179266.548
2008-01-01,183602.04499999998
2009-01-01,179638.526
2010-01-01,193041.143
2011-01-01,197211.311
2012-01-01,202252.457
2013-01-01,205416.049
2014-01-01,206238.627
2015-01-01,211277.53
2016-01-01,216241.03
2017-01-01,222198.768
2018-01-01,233160.66
2019-01-01,237579.513
2020-01-01,233857.45799999998
2021-01-01,245493.895
