ano;mês;valor
1997;janeiro;15,17
1997;fevereiro;15,49
1997;março;15,73
1997;abril;15,56
1997;maio;15,65
1997;junho;15,75
1997;julho;15,77
1997;agosto;15,78
1997;setembro;16,2
1997;outubro;17,11
1997;novembro;18,01
1997;dezembro;20,18
1998;janeiro;21,96
1998;fevereiro;21,87
1998;março;21,13
1998;abril;21,06
1998;maio;20,58
1998;junho;21,21
1998;julho;20,62
1998;agosto;19,54
1998;setembro;20,26
1998;outubro;20,18
1998;novembro;20,34
1998;dezembro;19,86
1999;janeiro;20,13
1999;fevereiro;23,48
1999;março;22,72
1999;abril;20,42
1999;maio;20,74
1999;junho;20,21
1999;julho;19,86
1999;agosto;19,95
1999;setembro;21,14
1999;outubro;20,86
1999;novembro;20,89
1999;dezembro;20,44
2000;janeiro;20,15
2000;fevereiro;20
2000;março;19,13
2000;abril;18,26
2000;maio;18,6
2000;junho;18,09
2000;julho;18,22
2000;agosto;17,65
2000;setembro;17,3
2000;outubro;17,18
2000;novembro;17,14
2000;dezembro;17,93
2001;janeiro;18,46
2001;fevereiro;18,03
2001;março;18,44
2001;abril;19,39
2001;maio;19,35
2001;junho;19,46
2001;julho;22,33
2001;agosto;25,77
2001;setembro;26,15
2001;outubro;25,73
2001;novembro;25,2
2001;dezembro;24,64
2002;janeiro;24,56
2002;fevereiro;24
2002;março;23,46
2002;abril;22,8
2002;maio;23,77
2002;junho;27,17
2002;julho;28,91
2002;agosto;34,26
2002;setembro;36,46
2002;outubro;41,11
2002;novembro;45,14
2002;dezembro;47,3
2003;janeiro;46,04
2003;fevereiro;44,9
2003;março;44,51
2003;abril;40,76
2003;maio;39,9
2003;junho;37,93
2003;julho;37,67
2003;agosto;36,38
2003;setembro;36,45
2003;outubro;39,85
2003;novembro;43,97
2003;dezembro;43,8
2004;janeiro;42,96
2004;fevereiro;46,57
2004;março;49,95
2004;abril;47,78
2004;maio;46,84
2004;junho;43,19
2004;julho;40,93
2004;agosto;40,63
2004;setembro;41,77
2004;outubro;39,56
2004;novembro;38,37
2004;dezembro;36,8
2005;janeiro;36,62
2005;fevereiro;36,04
2005;março;38,31
2005;abril;37,85
2005;maio;35,84
2005;junho;33,94
2005;julho;33,95
2005;agosto;33,01
2005;setembro;31,51
2005;outubro;30,71
2005;novembro;29,84
2005;dezembro;29,64
2006;janeiro;30,95
2006;fevereiro;30,38
2006;março;30,53
2006;abril;29,95
2006;maio;30,94
2006;junho;32,28
2006;julho;32,96
2006;agosto;32,77
2006;setembro;32,77
2006;outubro;32,94
2006;novembro;37,03
2006;dezembro;40,07
2007;janeiro;39,08
2007;fevereiro;38,11
2007;março;37,03
2007;abril;34,87
2007;maio;35,62
2007;junho;36,7
2007;julho;37,66
2007;agosto;39,56
2007;setembro;40,36
2007;outubro;41,09
2007;novembro;43,49
2007;dezembro;46,43
2008;janeiro;50,25
2008;fevereiro;54,88
2008;março;59,83
2008;abril;59,11
2008;maio;57,27
2008;junho;54,45
2008;julho;53,17
2008;agosto;48,48
2008;setembro;46,56
2008;outubro;47,4
2008;novembro;46,14
2008;dezembro;41,62
2009;janeiro;43,32
2009;fevereiro;43,81
2009;março;41,39
2009;abril;43,39
2009;maio;42,04
2009;junho;43,01
2009;julho;39,81
2009;agosto;39,74
2009;setembro;40,54
2009;outubro;44,11
2009;novembro;45,47
2009;dezembro;44,18
2010;janeiro;42,84
2010;fevereiro;40,46
2010;março;38,61
2010;abril;38,66
2010;maio;37,13
2010;junho;38,02
2010;julho;37,03
2010;agosto;41,74
