Date,Consumption,Income,Production,Savings,Unemployment
1970 Q1,0.61598622,0.97226104,-2.45270031,4.8103115,0.9
1970 Q2,0.46037569,1.16908472,-0.55152509,7.28799234,0.5
1970 Q3,0.87679142,1.55327055,-0.35870786,7.28901306,0.5
1970 Q4,-0.27424514,-0.25527238,-2.18545486,0.98522964,0.7
1971 Q1,1.89737076,1.98715363,1.90973412,3.65777061,-0.1
1971 Q2,0.91199291,1.44733417,0.90153584,6.0513418,-0.1
1971 Q3,0.79453885,0.53181193,0.30801942,-0.44583221,0.1
1971 Q4,1.64858747,1.16012514,2.29130441,-1.53087186,0
1972 Q1,1.31372218,0.4570115,4.14957387,-4.35859438,-0.2
1972 Q2,1.89147495,1.01662441,1.89062398,-5.05452579,-0.1
1972 Q3,1.530714,1.90410126,1.2733529,5.80995904,-0.2
1972 Q4,2.31829471,3.89025866,3.43689207,16.04471706,-0.3
1973 Q1,1.81073916,0.70825266,2.79907636,-5.34886849,-0.3
1973 Q2,-0.04173996,0.79430954,0.81768862,8.42603436,0
1973 Q3,0.35423556,0.43381827,0.86899693,2.75879565,-0.1
1973 Q4,-0.29163216,1.09380979,1.47296187,11.14642986,0.1
1974 Q1,-0.87702794,-1.66168482,-0.88248358,-2.53351449,0.2
1974 Q2,0.35113555,-0.93835321,0.07427919,-6.59264464,0.3
1974 Q3,0.4095977,0.09448779,-0.41314971,0.51717884,0.5
1974 Q4,-1.47580863,-0.12259599,-4.06411893,11.3433954,1.3
1975 Q1,0.83225762,-0.16369546,-6.85103912,-5.47619069,1.4
1975 Q2,1.65583461,4.53650956,-1.33129558,24.30960536,0.2
1975 Q3,1.41942029,-1.46376532,2.42435972,-17.65616104,-0.4
1975 Q4,1.05437932,0.76166351,2.16904208,0.64809041,-0.2
1976 Q1,1.97998024,1.16825761,3.02720471,-2.95006644,-0.6
1976 Q2,0.91391607,0.51729906,1.27881101,-1.47455755,0
1976 Q3,1.05532326,0.73370026,1.30386487,-0.06754475,0
1976 Q4,1.29889825,0.59458339,1.77537765,-3.57672239,0.2
1977 Q1,1.13637586,-0.03108003,2.05516067,-9.16055658,-0.4
1977 Q2,0.54994073,1.23808955,3.05838507,9.09050404,-0.2
1977 Q3,0.94985262,1.51880293,1.10308888,7.94495719,-0.4
1977 Q4,1.49599724,1.9145624,0.6334685,6.69627648,-0.4
1978 Q1,0.57549599,0.70266687,-0.29339056,2.92296383,-0.1
1978 Q2,2.1112096,0.98314132,3.94815264,-6.81114259,-0.4
1978 Q3,0.41796279,0.7199262,0.87114701,4.79207162,0.1
1978 Q4,0.7979271,0.78553605,1.78447991,2.371184,0
1979 Q1,0.50584598,1.05755946,0.42594327,7.77418337,-0.2
1979 Q2,-0.05775339,-0.86765105,-0.20491944,-5.28634896,-0.1
1979 Q3,0.9773001,0.4710034,-0.29723637,-1.84549644,0.2
1979 Q4,0.26826982,0.44037974,0.33560928,4.0495981,0.1
1980 Q1,-0.15391875,0.33827686,0.41056141,5.86168864,0.3
1980 Q2,-2.27411019,-1.46388507,-4.30076832,8.24322919,1.3
1980 Q3,1.07188123,1.21301507,-1.64181977,5.70775044,-0.1
1980 Q4,1.31644941,1.94243865,3.7804552,9.15098787,-0.3
1981 Q1,0.5247277,-0.26813406,0.24627687,-5.68139002,0.2
1981 Q2,-0.01728203,-0.02363025,0.30977573,0.88183993,0.1
1981 Q3,0.4016515,2.02680183,0.91707444,15.99035721,0.1
1981 Q4,-0.7528762,0.19560628,-2.25457797,7.8055065,0.9
1982 Q1,0.65938376,0.11969888,-2.07131293,-3.34243955,0.5
1982 Q2,0.36854173,0.57548997,-1.24766384,2.19400166,0.6
1982 Q3,0.76954464,0.5348441,-1.4005043,0.03499563,0.5
1982 Q4,1.80876006,0.44938311,-1.90375664,-9.57651468,0.7
1983 Q1,0.96802954,0.85588425,1.1465572,0.3459546,-0.5
1983 Q2,1.95946831,0.70632719,2.17942248,-10.17004699,-0.2
1983 Q3,1.73949442,1.49810999,3.36771897,0.21217916,-0.9
1983 Q4,1.56389332,2.13138911,2.58168445,8.21600068,-0.9
1984 Q1,0.84526442,2.02348788,2.89709545,13.8691815,-0.5
1984 Q2,1.41504495,1.64921136,1.53821324,4.38900229,-0.6
1984 Q3,0.76546608,1.36163845,0.7212874,6.51686089,0.1
1984 Q4,1.31380062,0.81927319,0.04115557,-2.87544931,0
1985 Q1,1.6865532,-0.23895759,0.32353159,-18.71008389,-0.1
1985 Q2,0.9343699,1.90677905,0.07020996,11.8287195,0.2
1985 Q3,1.90256675,-0.33536283,-0.14046924,-23.57393474,-0.3
1985 Q4,0.25656565,1.14181151,0.57978813,11.36628338,-0.1
1986 Q1,0.84304279,1.2395111,0.58132135,5.86126836,0.2
1986 Q2,1.1117739,1.31938549,-0.57641778,3.27551734,0
1986 Q3,1.79499406,0.7047715,0.37249329,-10.09044542,-0.2
1986 Q4,0.63768446,0.17977925,1.13734778,-4.82920131,-0.4
1987 Q1,0.01569397,0.81973366,1.30758228,12.46424452,0
1987 Q2,1.37731686,-0.97505791,1.75000563,-29.52866718,-0.4
1987 Q3,1.15225712,1.80185055,1.843662,12.32810406,-0.3
1987 Q4,0.21016439,1.32743427,2.40645058,16.63076101,-0.2
1988 Q1,1.76316026,1.44861875,0.92013121,-0.96896505,0
1988 Q2,0.73053714,1.02084894,0.87316353,5.67776867,-0.3
1988 Q3,0.85083233,0.95820336,0.38103668,3.64649867,0
1988 Q4,1.13789838,0.96207024,0.70292025,-0.19730358,-0.1
1989 Q1,0.46064152,1.22693023,0.43372685,10.01461545,-0.3
1989 Q2,0.46937808,-0.29489091,-0.36675732,-8.15576525,0.3
1989 Q3,0.98950145,0.67822897,-0.62142121,-2.48622554,0
1989 Q4,0.43942767,0.80025832,0.42443392,5.44681102,0.1
1990 Q1,0.85543417,0.83939484,0.68265169,2.87544931,-0.2
1990 Q2,0.31230451,0.59572848,0.77446547,5.10951644,0
1990 Q3,0.40261313,0.03740765,0.419448,-3.17767248,0.7
1990 Q4,-0.75910716,-0.79479735,-1.57345296,-0.17953326,0.4
1991 Q1,-0.34535008,0.2118329,-1.91422028,6.49315257,0.5
1991 Q2,0.83564224,0.69043356,0.59131506,-0.30920615,0.1
1991 Q3,0.48439843,0.36205181,1.36255645,-0.14086493,0
1991 Q4,-0.02626579,0.85100324,0.21710308,11.3419301,0.4
1992 Q1,1.85996999,2.12421067,-0.13365365,7.2326515,0.1
1992 Q2,0.68354371,1.04095059,1.76874773,5.46708666,0.4
1992 Q3,1.07661214,0.43562041,0.76167388,-5.9364609,-0.2
1992 Q4,1.18372396,0.34210852,1.05024577,-5.88618856,-0.2
1993 Q1,0.37817936,0.55877186,0.87901471,2.63464703,-0.4
1993 Q2,0.89392729,0.17627103,0.21755108,-6.91664675,0
1993 Q3,1.09813766,0.05868803,0.40135891,-11.99337844,-0.3
1993 Q4,0.88122025,0.65496353,1.49618275,-1.8370887,-0.2
1994 Q1,1.14064791,0.69846579,1.22213656,-5.18600629,0
1994 Q2,0.77176225,1.05367166,1.78250275,5.15609751,-0.4
1994 Q3,0.77214364,0.59247377,1.267181,-2.42215898,-0.2
1994 Q4,1.07014805,1.38110661,2.04370404,6.32351898,-0.4
1995 Q1,0.26420505,0.94873528,1.02552601,10.11514398,-0.1
1995 Q2,0.89311141,0.22780635,0.33785685,-10.60541172,0.2
1995 Q3,0.91264702,0.88957006,0.90043887,-0.11570727,0
1995 Q4,0.70025425,0.57591998,0.87467273,-2.90726686,0
1996 Q1,0.92360967,0.95255663,0.69285195,2.55933958,-0.1
1996 Q2,1.07997887,0.95161791,2.11134752,-0.75802112,-0.2
1996 Q3,0.60055799,0.79369738,1.2441868,3.33843952,-0.1
1996 Q4,0.78298122,0.52035746,1.3539689,-3.33843952,0.2
1997 Q1,1.04949253,0.99858552,1.867147,0.61269338,-0.2
1997 Q2,0.45219855,0.85103564,1.48763922,6.17532322,-0.2
1997 Q3,1.69654264,1.18352222,2.28632066,-7.22796452,-0.1
1997 Q4,1.18062797,1.42325742,2.48091341,5.43456565,-0.2
1998 Q1,1.02693626,2.10753052,1.10343775,19.35335228,0
1998 Q2,1.75069399,1.38767133,0.65122238,-4.81709478,-0.2
1998 Q3,1.30596977,1.01464427,0.72551955,-3.12983982,0.1
1998 Q4,1.45888615,0.80893032,1.44421674,-9.14923404,-0.2
1999 Q1,0.94821191,0.89173174,1.10341663,1.88735718,-0.2
1999 Q2,1.46971415,0.24722185,0.98574261,-23.49652903,0.1
1999 Q3,1.12921436,0.66729226,0.90279881,-9.86264835,-0.1
1999 Q4,1.45748895,1.46092242,1.75533234,2.35825225,-0.2
2000 Q1,1.51106759,1.95061335,0.99682019,12.2868408,0
2000 Q2,0.95508878,1.03174349,1.23293805,1.28001748,0
2000 Q3,0.96797647,1.16178668,-0.10225268,2.57390229,-0.1
2000 Q4,0.88629738,0.33725343,-0.20388383,-13.16296208,0
2001 Q1,0.42159086,0.84865826,-1.35143911,13.22491995,0.4
2001 Q2,0.25689982,-0.08818148,-1.25954437,-6.89043916,0.2
2001 Q3,0.36381084,2.3367892,-1.44101744,41.66826457,0.5
2001 Q4,1.51630321,-1.24443353,-1.06013675,-56.75209674,0.7
2002 Q1,0.29958257,2.40331419,0.70916406,50.75796205,0
2002 Q2,0.50899032,0.50559877,1.54280957,0.87861837,0.1
2002 Q3,0.69667241,-0.12828194,0.59478143,-14.70397426,-0.1
2002 Q4,0.53634306,0.47941927,-0.05776556,1.58733492,0.3
2003 Q1,0.43826169,0.27834026,0.53922789,0.49744834,-0.1
2003 Q2,1.10719086,1.43729445,-0.69876172,7.00891625,0.4
2003 Q3,1.46377882,1.62544947,0.60727351,6.1841315,-0.2
2003 Q4,0.77334046,0.40353864,1.00599126,-6.89274778,-0.4
2004 Q1,0.96768535,0.72653162,0.65792806,-2.9615204,0.1
2004 Q2,0.64760607,0.98056746,0.5746178,8.30885627,-0.2
2004 Q3,0.95117167,0.52450113,0.5633003,-8.99318286,-0.2
2004 Q4,1.02041702,1.24238706,1.38522763,6.23585017,0
2005 Q1,0.76172556,-0.96827007,1.39435718,-42.28191228,-0.2
2005 Q2,1.08136588,0.78835467,0.50586367,-18.27592893,-0.2
2005 Q3,0.77186494,0.51136949,-0.50305848,-7.87665229,0
2005 Q4,0.37591485,0.82191843,0.9336501,20.37236078,-0.1
2006 Q1,1.11522822,2.25904474,0.95057853,37.40653542,-0.2
2006 Q2,0.53100554,0.14987813,0.5963601,-12.34810568,-0.1
2006 Q3,0.58208747,0.28490722,0.33552773,-10.5527614,-0.1
2006 Q4,1.01434389,1.30059162,0.25603401,6.0310008,-0.1
2007 Q1,0.52486184,0.65373993,0.91794957,6.60516929,0
2007 Q2,0.33874119,0.1926087,1.19594247,-7.23648452,0.2
2007 Q3,0.44391875,0.26238732,0.22356909,-9.00674555,0.1
2007 Q4,0.12505584,0.08392938,0.16424632,2.32887238,0.3
2008 Q1,-0.20652548,0.71926565,-0.42872571,29.83728599,0.1
2008 Q2,0.16783443,2.08693775,-1.41297022,46.43989041,0.5
2008 Q3,-0.72499446,-2.3261186,-3.26349945,-32.53252494,0.5
2008 Q4,-1.21068558,0.64019534,-4.35417741,36.3124049,1.2
2009 Q1,-0.3435437,-0.18888849,-5.75045075,0.9230602,1.4
2009 Q2,-0.45174364,0.70899368,-3.00372447,16.09059408,0.8
2009 Q3,0.60491332,-1.1034318,1.39880419,-24.49229966,0.3
2009 Q4,-0.01115014,-0.13213193,1.54400617,0.8482922,0.1
2010 Q1,0.5348174,0.10094986,1.88006931,-5.54399051,0
2010 Q2,0.81040406,1.29229259,2.05402479,11.65612884,-0.5
2010 Q3,0.64501881,0.49678098,1.42683671,-0.35208609,0.1
2010 Q4,1.01833874,0.69495229,0.37927209,-3.27335958,-0.2
2011 Q1,0.50041315,1.21571502,0.5017404,14.33860193,-0.3
2011 Q2,0.20141978,-0.15658108,0.21878696,-4.07705131,0.1
2011 Q3,0.43372599,0.52891255,1.01113866,2.722504,-0.1
2011 Q4,0.33593895,0.06074719,0.85151692,-3.45447712,-0.5
2012 Q1,0.60108995,1.62204885,0.88651817,17.6253051,-0.3
2012 Q2,0.16942956,0.76689543,0.62923586,8.9694971,0
2012 Q3,0.26416034,-0.05071452,0.07880166,-3.04922177,-0.4
2012 Q4,0.27877186,2.59106697,0.63305509,29.04670355,0.1
2013 Q1,0.46861292,-4.26525047,0.67713243,-68.78826698,-0.4
2013 Q2,0.20545802,0.58146541,0.30744961,7.81647729,0
2013 Q3,0.46641787,0.58328912,0.23440888,3.49400682,-0.3
2013 Q4,0.83917367,0.21494896,0.79208722,-11.2766145,-0.5
2014 Q1,0.47345118,1.10369487,0.54709166,13.52020248,0
2014 Q2,0.93375698,1.29390492,1.33801074,8.2440477,-0.6
2014 Q3,0.91687178,0.99853396,0.62352731,2.46195256,-0.2
2014 Q4,1.1253325,1.04641801,0.90355427,-1.51305022,-0.3
2015 Q1,0.59624005,0.4904068,-0.46710878,-0.75840017,-0.2
2015 Q2,0.70814389,0.95495949,-0.69702162,5.02391773,-0.1
2015 Q3,0.66496956,0.80166267,0.3806061,3.18092976,-0.3
2015 Q4,0.56167978,0.7400626,-0.84554638,3.48278601,0
2016 Q1,0.40468216,0.5190254,-0.41793048,2.23653405,0
2016 Q2,1.04770741,0.72372078,-0.20331883,-2.72150106,-0.1
2016 Q3,0.72959779,0.64470081,0.47491844,-0.57285793,0
