data;volume_vendas
janeiro 2005;59,8
fevereiro 2005;51,5
março 2005;58,8
abril 2005;57,5
maio 2005;57,3
junho 2005;58,4
julho 2005;59
agosto 2005;61,9
setembro 2005;57,6
outubro 2005;58,9
novembro 2005;63
dezembro 2005;61,8
janeiro 2006;58,5
fevereiro 2006;50,2
março 2006;59,9
abril 2006;52
maio 2006;59,6
junho 2006;60,9
julho 2006;65,6
agosto 2006;69,4
setembro 2006;65,4
outubro 2006;67,7
novembro 2006;69,5
dezembro 2006;60,3
janeiro 2007;63,1
fevereiro 2007;53
março 2007;62,5
abril 2007;57,7
maio 2007;69,7
junho 2007;67,8
julho 2007;71,3
agosto 2007;76,5
setembro 2007;71,3
outubro 2007;79,1
novembro 2007;79,5
dezembro 2007;66,6
janeiro 2008;69,2
fevereiro 2008;63
março 2008;65,9
abril 2008;68,9
maio 2008;74,1
junho 2008;74,5
julho 2008;85,1
agosto 2008;79,1
setembro 2008;81,4
outubro 2008;82
novembro 2008;74,7
dezembro 2008;64,2
janeiro 2009;60,5
fevereiro 2009;55
março 2009;63,1
abril 2009;58
maio 2009;67,9
junho 2009;70,4
julho 2009;74,4
agosto 2009;74,4
setembro 2009;74,8
outubro 2009;78,4
novembro 2009;78
dezembro 2009;68,9
janeiro 2010;66,3
fevereiro 2010;63,2
março 2010;75,8
abril 2010;69,5
maio 2010;81,6
junho 2010;78,3
julho 2010;85,5
agosto 2010;89,3
setembro 2010;87,5
outubro 2010;85,4
novembro 2010;90,3
dezembro 2010;80,1
janeiro 2011;77,3
fevereiro 2011;75,4
março 2011;80,6
abril 2011;76,2
maio 2011;91,1
junho 2011;88,9
julho 2011;90,9
agosto 2011;95,2
setembro 2011;93,1
outubro 2011;91,2
novembro 2011;95,5
dezembro 2011;84,2
janeiro 2012;88,4
fevereiro 2012;81,8
março 2012;94,2
abril 2012;86,2
maio 2012;95
junho 2012;89,3
julho 2012;95,9
agosto 2012;103,3
setembro 2012;93,6
outubro 2012;103,5
novembro 2012;100,9
dezembro 2012;90,2
janeiro 2013;98,1
fevereiro 2013;85,4
março 2013;94,2
abril 2013;100,2
maio 2013;99,7
junho 2013;93,6
julho 2013;105,9
agosto 2013;107,5
setembro 2013;103,3
outubro 2013;110,7
novembro 2013;106,1
dezembro 2013;95,2
janeiro 2014;102,5
fevereiro 2014;99,7
março 2014;95,4
abril 2014;94,4
maio 2014;101,5
junho 2014;89,3
julho 2014;102,5
agosto 2014;101,3
setembro 2014;103,2
outubro 2014;110,4
novembro 2014;103,6
dezembro 2014;96,1
janeiro 2015;99,6
fevereiro 2015;86,9
março 2015;98,1
abril 2015;90,5
maio 2015;90
junho 2015;90,5
julho 2015;95,2
agosto 2015;92
setembro 2015;90,2
outubro 2015;93
novembro 2015;89,5
dezembro 2015;84,1
